Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average;q7 replies;q7  % ;q7 average;q8 replies;q8  % ;q8 average;q9 replies;q9  % ;q9 average;q10 replies;q10  % ;q10 average;q11 replies;q11  % ;q11 average
KDKM;Advanced 3D modelling;12 of 24;50;5.83;12 of 24;50;5.33;12 of 24;50;4.75;12 of 24;50;5.58;12 of 24;50;2.58;12 of 24;50;3.42;12 of 24;50;3.33;12 of 24;50;3.92;12 of 24;50;5.25;12 of 24;50;4.50;12 of 24;50;2.67
KDKM;Advanced multimedia production at the Internet;14 of 30;46;5.50;14 of 30;46;5.36;14 of 30;46;4.86;14 of 30;46;5.71;14 of 30;46;3.43;14 of 30;46;3.36;14 of 30;46;4.36;14 of 30;46;4.36;14 of 30;46;5.21;14 of 30;46;3.86;14 of 30;46;2.86
KDKM;Basic Web Design;26 of 47;55;5.54;26 of 47;55;5.27;26 of 47;55;5.35;26 of 47;55;5.73;26 of 47;55;3.19;26 of 47;55;2.88;26 of 47;55;3.19;26 of 47;55;4.08;26 of 47;55;5.00;26 of 47;55;4.15;26 of 47;55;3.00
KDKM;Computer games II;4 of 10;40;5.50;4 of 10;40;5.75;4 of 10;40;5.25;4 of 10;40;5.00;4 of 10;40;2.75;4 of 10;40;5.25;4 of 10;40;3.75;4 of 10;40;5.50;4 of 10;40;5.75;4 of 10;40;3.25;4 of 10;40;2.25
KDKM;Database-based web publishing;19 of 36;52;5.37;19 of 36;52;5.68;19 of 36;52;4.74;19 of 36;52;5.63;19 of 36;52;2.16;19 of 36;52;4.00;19 of 36;52;2.89;19 of 36;52;3.47;19 of 36;52;4.47;19 of 36;52;4.11;19 of 36;52;3.42
KDKM;Design of complex user interfaces for the web; advanced course in graphic design;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KDKM;Digital Video Post Production and DVD-Production;7 of 18;38;4.43;7 of 18;38;4.14;7 of 18;38;4.43;7 of 18;38;5.29;7 of 18;38;3.71;7 of 18;38;4.29;7 of 18;38;3.86;7 of 18;38;4.14;7 of 18;38;5.14;7 of 18;38;4.00;7 of 18;38;3.43
KDKM;Digital sound;9 of 21;42;5.78;9 of 21;42;5.33;9 of 21;42;5.22;9 of 21;42;4.67;9 of 21;42;3.56;9 of 21;42;3.67;9 of 21;42;3.22;9 of 21;42;4.11;9 of 21;42;5.11;9 of 21;42;3.44;9 of 21;42;2.00
KDKM;IT Sociology;10 of 28;35;4.30;10 of 28;35;3.90;10 of 28;35;4.00;10 of 28;35;2.60;10 of 28;35;3.50;10 of 28;35;4.20;10 of 28;35;3.70;10 of 28;35;4.40;10 of 28;35;5.20;10 of 28;35;3.50;10 of 28;35;2.80
KDKM;Interaction design;27 of 48;56;4.37;27 of 48;56;4.56;27 of 48;56;4.41;27 of 48;56;4.78;27 of 48;56;3.63;27 of 48;56;4.04;27 of 48;56;3.00;27 of 48;56;4.70;27 of 48;56;5.11;27 of 48;56;3.89;27 of 48;56;2.96
