Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average;q7 replies;q7  % ;q7 average;q8 replies;q8  % ;q8 average;q9 replies;q9  % ;q9 average;q10 replies;q10  % ;q10 average;q11 replies;q11  % ;q11 average
KDKM;3D Beginner;8 of 24;33;5.12;8 of 24;33;5.00;8 of 24;33;4.75;8 of 24;33;5.38;8 of 24;33;3.12;8 of 24;33;2.75;8 of 24;33;3.12;8 of 24;33;3.25;8 of 24;33;5.12;8 of 24;33;3.62;8 of 24;33;3.38
KDKM;Advanced Digital Sound Processing;2 of 13;15;5.00;2 of 13;15;4.50;2 of 13;15;5.00;2 of 13;15;5.00;2 of 13;15;5.50;2 of 13;15;5.50;2 of 13;15;2.00;2 of 13;15;5.00;2 of 13;15;5.50;2 of 13;15;5.00;2 of 13;15;5.00
KDKM;Advanced Learning and IT - Management of Innovation;3 of 16;18;4.67;3 of 16;18;5.33;3 of 16;18;5.33;3 of 16;18;6.00;3 of 16;18;2.33;3 of 16;18;3.67;3 of 16;18;4.00;3 of 16;18;3.33;3 of 16;18;4.00;3 of 16;18;3.67;3 of 16;18;3.00
KDKM;Basic Web Design (12:30-18:30);19 of 52;36;5.05;19 of 52;36;4.68;19 of 52;36;4.74;19 of 52;36;5.26;19 of 52;36;4.16;19 of 52;36;3.21;19 of 52;36;3.26;19 of 52;36;4.11;19 of 52;36;4.37;19 of 52;36;3.53;19 of 52;36;3.37
KDKM;Computer Game Culture;17 of 38;44;4.94;17 of 38;44;5.12;17 of 38;44;4.59;17 of 38;44;3.65;17 of 38;44;3.06;17 of 38;44;4.94;17 of 38;44;3.06;17 of 38;44;5.29;17 of 38;44;5.24;17 of 38;44;4.29;17 of 38;44;3.71
KDKM;Computer Games Theory;11 of 39;28;4.73;11 of 39;28;4.45;11 of 39;28;4.64;11 of 39;28;4.55;11 of 39;28;3.45;11 of 39;28;4.09;11 of 39;28;3.55;11 of 39;28;4.82;11 of 39;28;4.82;11 of 39;28;3.45;11 of 39;28;2.36
KDKM;Database-based Web Publishing (12:30-18:30);20 of 81;24;5.35;20 of 81;24;5.30;20 of 81;24;4.60;20 of 81;24;5.50;20 of 81;24;3.10;20 of 81;24;3.70;20 of 81;24;3.25;20 of 81;24;4.75;20 of 81;24;4.75;20 of 81;24;4.20;20 of 81;24;3.60
KDKM;Digital Culture and Sociology;11 of 30;36;5.91;11 of 30;36;5.73;11 of 30;36;5.27;11 of 30;36;4.73;11 of 30;36;2.82;11 of 30;36;5.18;11 of 30;36;2.09;11 of 30;36;5.73;11 of 30;36;5.64;11 of 30;36;3.82;11 of 30;36;2.64
KDKM;Digital Video Communication;2 of 21;9;4.00;2 of 21;9;4.00;2 of 21;9;4.00;2 of 21;9;3.00;2 of 21;9;5.00;2 of 21;9;3.00;2 of 21;9;4.00;2 of 21;9;4.00;2 of 21;9;5.00;2 of 21;9;4.50;2 of 21;9;4.00
KDKM;Interaction Design;11 of 27;40;5.00;11 of 27;40;5.45;11 of 27;40;4.27;11 of 27;40;5.36;11 of 27;40;3.09;11 of 27;40;4.27;11 of 27;40;2.73;11 of 27;40;5.27;11 of 27;40;4.36;11 of 27;40;4.18;11 of 27;40;3.18
