Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average;q7 replies;q7  % ;q7 average;q8 replies;q8  % ;q8 average;q9 replies;q9  % ;q9 average;q10 replies;q10  % ;q10 average;q11 replies;q11  % ;q11 average
?;Analysis, Design and Software Architecture - B. Sc. course;15 of 29;51;5.53;15 of 29;51;5.47;15 of 29;51;5.60;15 of 29;51;5.20;15 of 29;51;3.20;15 of 29;51;5.07;15 of 29;51;2.87;15 of 29;51;5.33;15 of 29;51;5.27;15 of 29;51;3.80;15 of 29;51;3.53
?;B1 Strategic and tactical tools for e-business ;15 of 35;42;4.27;15 of 35;42;4.67;15 of 35;42;4.93;15 of 35;42;3.87;15 of 35;42;4.67;15 of 35;42;4.13;15 of 35;42;3.53;15 of 35;42;4.40;15 of 35;42;5.07;15 of 35;42;3.13;15 of 35;42;2.73
?;B21 Project Management of IT Sourcing ;9 of 27;33;4.33;9 of 27;33;4.78;9 of 27;33;5.11;9 of 27;33;4.56;9 of 27;33;4.11;9 of 27;33;3.67;9 of 27;33;4.00;9 of 27;33;3.78;9 of 27;33;5.22;9 of 27;33;4.56;9 of 27;33;4.56
?;B22 Online marketing ¿ advertising, consumers and communities;3 of 26;11;5.00;3 of 26;11;5.00;3 of 26;11;5.33;3 of 26;11;3.67;3 of 26;11;6.00;3 of 26;11;5.67;3 of 26;11;3.00;3 of 26;11;4.67;3 of 26;11;5.67;3 of 26;11;4.00;3 of 26;11;5.33
?;B23 Theoretical and practical perspectives on e-business;5 of 12;41;5.40;5 of 12;41;4.40;5 of 12;41;4.80;5 of 12;41;4.20;5 of 12;41;4.80;5 of 12;41;5.60;5 of 12;41;2.40;5 of 12;41;4.60;5 of 12;41;5.20;5 of 12;41;4.60;5 of 12;41;3.80
?;Business IT Alignment;14 of 41;34;5.07;14 of 41;34;4.36;14 of 41;34;5.00;14 of 41;34;4.79;14 of 41;34;4.14;14 of 41;34;4.21;14 of 41;34;3.36;14 of 41;34;4.14;14 of 41;34;4.71;14 of 41;34;5.07;14 of 41;34;5.00
?;Business and Management;24 of 64;37;5.38;24 of 64;37;5.12;24 of 64;37;5.08;24 of 64;37;4.62;24 of 64;37;3.21;24 of 64;37;4.08;24 of 64;37;4.04;24 of 64;37;4.67;24 of 64;37;5.21;24 of 64;37;3.00;24 of 64;37;2.54
?;Data Storage and Formats - B.Sc. course;15 of 29;51;5.27;15 of 29;51;5.33;15 of 29;51;5.33;15 of 29;51;4.87;15 of 29;51;3.60;15 of 29;51;4.80;15 of 29;51;2.87;15 of 29;51;4.33;15 of 29;51;5.47;15 of 29;51;4.00;15 of 29;51;4.00
?;Distributed Systems and Protocols - B. Sc. course;15 of 29;51;4.80;15 of 29;51;4.13;15 of 29;51;4.87;15 of 29;51;4.13;15 of 29;51;4.27;15 of 29;51;4.80;15 of 29;51;2.07;15 of 29;51;4.00;15 of 29;51;4.87;15 of 29;51;3.13;15 of 29;51;3.40
?;Healthcare IT  -  Design and Technical Implementation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
?;Healthcare IT  - Organizatorial Modified Systems;5 of 8;62;5.40;5 of 8;62;5.40;5 of 8;62;5.40;5 of 8;62;5.40;5 of 8;62;3.60;5 of 8;62;5.20;5 of 8;62;2.60;5 of 8;62;5.00;5 of 8;62;4.60;5 of 8;62;3.40;5 of 8;62;2.60
?;Healthcare IT  - Technical Implementation;5 of 8;62;4.00;5 of 8;62;4.00;5 of 8;62;4.20;5 of 8;62;4.00;5 of 8;62;5.80;5 of 8;62;5.20;5 of 8;62;1.60;5 of 8;62;3.20;5 of 8;62;3.40;5 of 8;62;5.20;5 of 8;62;5.40
?;Healthcare IT  - prestudy and design;5 of 10;50;5.80;5 of 10;50;5.80;5 of 10;50;6.00;5 of 10;50;5.80;5 of 10;50;2.00;5 of 10;50;5.40;5 of 10;50;1.20;5 of 10;50;4.80;5 of 10;50;5.40;5 of 10;50;4.40;5 of 10;50;4.40
?;Healthcare IT - Organizatorial Implementation;5 of 9;55;4.80;5 of 9;55;5.00;5 of 9;55;4.60;5 of 9;55;4.60;5 of 9;55;3.40;5 of 9;55;5.60;5 of 9;55;1.40;5 of 9;55;5.20;5 of 9;55;5.20;5 of 9;55;5.00;5 of 9;55;4.40
?;IT Service Management ;2 of 14;14;6.00;2 of 14;14;6.00;2 of 14;14;5.50;2 of 14;14;5.00;2 of 14;14;2.50;2 of 14;14;5.00;2 of 14;14;4.50;2 of 14;14;5.50;2 of 14;14;5.00;2 of 14;14;4.50;2 of 14;14;3.50
?;Introductory Programming with Project - B.Sc. course;14 of 46;30;5.79;14 of 46;30;5.86;14 of 46;30;6.00;14 of 46;30;5.57;14 of 46;30;3.00;14 of 46;30;4.71;14 of 46;30;2.64;14 of 46;30;4.93;14 of 46;30;5.36;14 of 46;30;2.93;14 of 46;30;2.43
?;P1 National Internet Law;9 of 30;30;5.11;9 of 30;30;5.22;9 of 30;30;4.78;9 of 30;30;4.89;9 of 30;30;3.56;9 of 30;30;5.44;9 of 30;30;2.11;9 of 30;30;4.33;9 of 30;30;4.33;9 of 30;30;4.33;9 of 30;30;3.67
?;P5 Legal Aspects of Starting Up an IT Business ;7 of 22;31;5.71;7 of 22;31;5.57;7 of 22;31;4.57;7 of 22;31;4.57;7 of 22;31;3.00;7 of 22;31;5.00;7 of 22;31;3.00;7 of 22;31;5.29;7 of 22;31;4.86;7 of 22;31;3.71;7 of 22;31;3.29
?;Personal Management and Change Management;10 of 23;43;5.50;10 of 23;43;5.10;10 of 23;43;5.30;10 of 23;43;5.50;10 of 23;43;1.90;10 of 23;43;3.90;10 of 23;43;3.50;10 of 23;43;4.70;10 of 23;43;5.50;10 of 23;43;3.40;10 of 23;43;2.50
?;Presentation and Investigation;7 of 39;17;4.43;7 of 39;17;5.00;7 of 39;17;3.71;7 of 39;17;4.57;7 of 39;17;3.71;7 of 39;17;4.14;7 of 39;17;3.86;7 of 39;17;4.29;7 of 39;17;5.00;7 of 39;17;3.14;7 of 39;17;3.43
?;Project work and Communication - B.Sc. course;15 of 46;32;5.27;15 of 46;32;5.07;15 of 46;32;5.20;15 of 46;32;4.60;15 of 46;32;4.20;15 of 46;32;5.13;15 of 46;32;2.00;15 of 46;32;5.20;15 of 46;32;5.13;15 of 46;32;3.13;15 of 46;32;2.53
?;Social innovation/Mobile applications (Project cluster);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
?;Systematic design of User Interfaces - B.Sc. course;15 of 46;32;4.80;15 of 46;32;5.27;15 of 46;32;4.67;15 of 46;32;5.20;15 of 46;32;3.67;15 of 46;32;4.33;15 of 46;32;2.60;15 of 46;32;4.07;15 of 46;32;5.00;15 of 46;32;3.33;15 of 46;32;2.40
