Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average
BDMD;Crossmedia;40 of 77;51;4.83;38 of 77;49;4.92;36 of 77;46;4.89;39 of 77;50;4.46;36 of 77;46;3.22;39 of 77;50;4.26
BDMD;Designing Digital Play;7 of 31;22;5.29;7 of 31;22;5.57;7 of 31;22;5.00;7 of 31;22;4.86;7 of 31;22;4.14;7 of 31;22;4.86
BDMD;Digital Media Culture;39 of 76;51;5.33;37 of 76;48;5.08;36 of 76;47;5.19;37 of 76;48;4.38;36 of 76;47;3.33;37 of 76;48;4.30
BDMD;E-Business and Understanding Business;4 of 24;16;3.00;2 of 24;8;1.50;2 of 24;8;1.50;3 of 24;12;4.00;2 of 24;8;3.00;3 of 24;12;4.00
BDMD;IT in Organizations - a Practice Approach;12 of 34;35;4.83;11 of 34;32;4.91;11 of 34;32;4.91;11 of 34;32;4.91;11 of 34;32;3.91;11 of 34;32;4.45
BDMD;Innovation and Entrepreneurship;11 of 69;15;4.09;11 of 69;15;5.00;11 of 69;15;4.91;11 of 69;15;4.18;11 of 69;15;3.82;11 of 69;15;4.91
BDMD;Introduction to Programming;13 of 52;25;5.46;13 of 52;25;5.85;12 of 52;23;5.75;13 of 52;25;4.46;13 of 52;25;4.00;13 of 52;25;4.23
BDMD;Philosophy of Science;9 of 66;13;2.78;9 of 66;13;4.22;9 of 66;13;4.22;9 of 66;13;2.11;9 of 66;13;3.11;9 of 66;13;4.33
BDMD;Project Cluster. B.Sc. Project;7 of 62;11;5.29;6 of 62;9;5.50;6 of 62;9;5.50;7 of 62;11;5.00;6 of 62;9;5.50;6 of 62;9;5.67
BDMD;Project Cluster: Concept Development with Industry;17 of 63;26;2.65;16 of 63;25;3.69;16 of 63;25;4.12;17 of 63;26;4.65;16 of 63;25;3.44;16 of 63;25;3.94
BDMD;Sketching and Prototyping;38 of 80;47;4.66;33 of 80;41;4.82;34 of 80;42;4.91;36 of 80;45;3.94;33 of 80;41;2.88;36 of 80;45;4.22
BGBI;Database Use and Design;42 of 74;56;4.69;40 of 74;54;5.08;38 of 74;51;5.00;39 of 74;52;4.49;40 of 74;54;3.60;40 of 74;54;3.95
BGBI;Global Project Management;44 of 67;65;4.73;41 of 67;61;4.68;41 of 67;61;4.73;42 of 67;62;5.05;43 of 67;64;3.00;42 of 67;62;4.02
BGBI;IT & Work Design;43 of 66;65;5.12;43 of 66;65;5.33;42 of 66;63;5.36;41 of 66;62;4.61;42 of 66;63;3.69;42 of 66;63;4.40
BGBI;IT Enabled Process Improvement;13 of 45;28;5.31;13 of 45;28;5.77;13 of 45;28;5.62;13 of 45;28;5.85;13 of 45;28;4.23;13 of 45;28;5.08
BGBI;IT Governance & Quality Management;13 of 37;35;4.54;13 of 37;35;4.69;11 of 37;29;4.73;13 of 37;35;5.15;13 of 37;35;2.92;13 of 37;35;3.92
BGBI;IT and Business Process Modeling;12 of 45;26;3.75;12 of 45;26;4.25;12 of 45;26;4.33;12 of 45;26;4.83;12 of 45;26;3.00;12 of 45;26;4.17
BGBI;Philosophy of Science and Technology;14 of 47;29;5.07;13 of 47;27;5.08;12 of 47;25;5.00;13 of 47;27;3.92;12 of 47;25;3.17;12 of 47;25;4.33
BGBI;Project Cluster. B.Sc. Project - GBI;7 of 36;19;5.29;7 of 36;19;5.71;7 of 36;19;5.57;7 of 36;19;5.43;7 of 36;19;4.71;7 of 36;19;5.29
BSWU;Algorithms and Data Structures;22 of 66;33;5.50;21 of 66;31;5.29;21 of 66;31;4.95;21 of 66;31;5.52;21 of 66;31;3.33;21 of 66;31;4.71
BSWU;First-year Project: Map of Denmark: Visualization, Navigation, Searching, and Route Planning;24 of 62;38;4.92;24 of 62;38;4.50;24 of 62;38;4.83;24 of 62;38;5.25;24 of 62;38;4.08;24 of 62;38;4.92
BSWU;Foundations of Computing - Discrete Mathematics;24 of 77;31;4.67;24 of 77;31;5.12;24 of 77;31;5.04;24 of 77;31;4.12;24 of 77;31;3.25;24 of 77;31;3.46
BSWU;Project Cluster: Bachelor's Project;16 of 58;27;4.69;13 of 58;22;5.08;12 of 58;20;5.08;14 of 58;24;5.36;13 of 58;22;4.54;13 of 58;22;4.92
BSWU;Reflections on IT;25 of 59;42;3.08;23 of 59;38;4.22;21 of 59;35;4.19;24 of 59;40;2.25;23 of 59;38;2.87;24 of 59;40;3.29
BSWU;Second Year Project - Functional Programming;21 of 56;37;4.95;19 of 56;33;5.47;18 of 56;32;5.44;20 of 56;35;4.15;20 of 56;35;3.80;21 of 56;37;4.71
BSWU;Second Year Project: Software Development in Large Teams with International Collaboration;22 of 56;39;4.82;20 of 56;35;5.15;20 of 56;35;5.30;22 of 56;39;5.27;21 of 56;37;4.62;22 of 56;39;5.09
BSWU;System Development and Project Organisation;21 of 59;35;2.24;19 of 59;32;3.53;18 of 59;30;3.67;20 of 59;33;3.40;19 of 59;32;2.89;19 of 59;32;4.05
KDDK;Basic Graphic Design;5 of 17;29;5.40;5 of 17;29;5.60;5 of 17;29;5.60;4 of 17;23;4.50;5 of 17;29;4.40;5 of 17;29;5.40
KDDK;Basic Graphic Design - group 2;10 of 28;35;5.20;10 of 28;35;5.90;10 of 28;35;5.30;10 of 28;35;4.90;10 of 28;35;4.50;10 of 28;35;4.30
KDDK;Design for Digital Communication Platforms;8 of 32;25;5.88;8 of 32;25;5.88;8 of 32;25;5.75;8 of 32;25;6.00;8 of 32;25;4.38;8 of 32;25;5.38
KDDK;Designing Digital Artifacts (Specialization Part I);15 of 44;34;4.40;14 of 44;31;4.21;13 of 44;29;3.54;14 of 44;31;5.00;13 of 44;29;3.38;14 of 44;31;4.29
KDDK;Digital Culture and Society;6 of 11;54;5.50;6 of 11;54;4.83;6 of 11;54;5.33;6 of 11;54;4.83;6 of 11;54;4.00;6 of 11;54;4.67
KDDK;Digital Cultures (Specialization Part I);17 of 29;58;5.53;17 of 29;58;5.35;17 of 29;58;5.24;17 of 29;58;4.94;17 of 29;58;3.47;16 of 29;55;3.94
KDDK;Digital Innovation - I;31 of 60;51;4.29;30 of 60;50;4.83;30 of 60;50;4.93;31 of 60;51;4.48;31 of 60;51;3.06;31 of 60;51;4.13
KDDK;Digital Innovation - II;24 of 63;38;4.38;22 of 63;34;5.23;23 of 63;36;4.91;23 of 63;36;4.48;23 of 63;36;3.57;23 of 63;36;4.61
KDDK;Digital Media Aestethics (Specialization Part 1);13 of 35;37;5.08;13 of 35;37;5.15;13 of 35;37;5.00;13 of 35;37;4.62;13 of 35;37;3.00;13 of 35;37;4.00
KDDK;Digital Rhetorics (for DDK med studiestart før E2012);15 of 41;36;4.33;14 of 41;34;5.07;15 of 41;36;5.00;15 of 41;36;4.07;15 of 41;36;3.27;14 of 41;34;4.07
KDDK;Digital Rhetorics I;36 of 69;52;3.22;34 of 69;49;4.24;34 of 69;49;4.47;35 of 69;50;4.23;35 of 69;50;3.63;34 of 69;49;4.00
KDDK;Digital Rhetorics II;23 of 62;37;4.13;23 of 62;37;4.78;22 of 62;35;4.77;23 of 62;37;4.09;22 of 62;35;3.50;22 of 62;35;4.00
KDDK;Digtal Aesthetics: Theory and Practice;9 of 24;37;4.67;9 of 24;37;4.56;9 of 24;37;4.56;9 of 24;37;4.33;9 of 24;37;2.67;9 of 24;37;4.33
KDDK;Green Society (Specialization Part 1);9 of 13;69;5.11;9 of 13;69;5.33;9 of 13;69;5.56;9 of 13;69;4.89;9 of 13;69;3.78;9 of 13;69;5.00
KDDK;Interactive Multimedia;3 of 13;23;5.33;3 of 13;23;4.67;3 of 13;23;4.67;3 of 13;23;5.33;3 of 13;23;4.00;3 of 13;23;5.33
KDDK;Introduction to Service Design (Specialization Part 1);17 of 47;36;5.00;17 of 47;36;5.53;17 of 47;36;5.35;17 of 47;36;5.35;17 of 47;36;4.06;17 of 47;36;4.76
KDDK;Introductory 3D;6 of 21;28;5.17;5 of 21;23;5.60;5 of 21;23;5.40;6 of 21;28;4.17;4 of 21;19;3.25;6 of 21;28;4.17
KDDK;Mobile Communication: Technical Issues and Methods for Study (Specialization Part I);5 of 11;45;5.60;5 of 11;45;5.40;5 of 11;45;5.40;4 of 11;36;5.00;5 of 11;45;3.80;5 of 11;45;5.20
