time_slots,overall_evaluation,name,semester,expected_participants,lecturers,maximum_participants,replies,line_code,minimum_participants,job_evaluation,language,ects_points,line_of_studies,programme,time_evaluation
"[{'room': '4A16', 'day': 'Mandag', 'time_slot': '17.00-18.50', 'type': 'Forelæsning'}, {'room': '4A16', 'day': 'Mandag', 'time_slot': '19.00-20.50', 'type': 'Øvelser'}]",3.29,Advanced IT Project Management,Efterår 2011,30,"['Jan Pries-Heje', 'Lene Pries-Heje']",34,0.4117647058823529,MORI,0,3.57,Dansk,750,Master i it organisation og implementering (ori),MORI,3.0
"[{'room': '4A14', 'day': 'Tirsdag', 'time_slot': '10.00-11.50', 'type': 'Forelæsning'}, {'room': '4A14', 'day': 'Tirsdag', 'time_slot': '12.00-13.50', 'type': 'Øvelser'}, {'room': '2A54', 'day': 'Torsdag', 'time_slot': '10.00-11.50', 'type': 'Forelæsning'}, {'room': '2A54', 'day': 'Torsdag', 'time_slot': '12.00-13.50', 'type': 'Øvelser'}]",4.82,Algorithm Design,Efterår 2011,20,['Thore Husfeldt'],40,0.3793103448275862,KSDT,12,4.91,Engelsk,1500,cand.it. softwareudvikling og -teknologi (sdt),KSDT,3.0
"[{'room': 'Aud 4', 'day': 'Onsdag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': 'Aud 4', 'day': 'Onsdag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}]",4.48,B1 Strategic and tactical tools for e-business,Efterår 2011,30,['Kim Normann Andersen'],77,0.39622641509433965,KEBUSS,20,5.14,Dansk,750,cand.it. e-business (ebuss),KEBUSS,3.68
"[{'room': '4A14', 'day': 'Onsdag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': '4A14', 'day': 'Onsdag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}]",5.4,B19 IT-Strategy,Efterår 2011,25,['Stefan Henningsson'],70,0.4807692307692308,KEBUSS,15,5.28,Engelsk,750,cand.it. e-business (ebuss),KEBUSS,3.8
"[{'room': '4A14', 'day': 'Mandag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': '4A14', 'day': 'Mandag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}]",4.95,B31 The Internet as A Battlefield - Competing With Digital Goods and Services,Efterår 2011,35,['Stefan Henningsson'],70,0.4772727272727273,KEBUSS,25,4.71,Engelsk,750,cand.it. e-business (ebuss),KEBUSS,3.15
"[{'room': '4A14', 'day': 'Onsdag', 'time_slot': '17.00-18.50', 'type': 'Forelæsning'}, {'room': '4A14, 4A54, 4A58', 'day': 'Onsdag', 'time_slot': '19.00-20.50', 'type': 'Øvelser'}]",5.47,Basic Graphic Design - group 1,Efterår 2011,30,['Klaus Bjerager'],40,0.4166666666666667,MINM,12,5.0,Dansk,750,Master i it interaktionsdesign og multimedier (inm),MINM,4.67
"[{'room': '4A16', 'day': 'Onsdag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': '4A16, 4A54, 4A56', 'day': 'Onsdag', 'time_slot': '10.00-11.50', 'type': 'Forelæsning'}]",5.27,Basic Graphic Design - group 2,Efterår 2011,30,['Ian Wisler-Poulsen'],30,0.5172413793103449,KDDK,15,5.64,Dansk,750,cand.it. digital design og kommunikation (ddk),KDDK,4.4
"[{'room': '2A52', 'day': 'Tirsdag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': '2A52', 'day': 'Tirsdag', 'time_slot': '10.00-11.50', 'type': 'Øvelser'}]",4.22,Building Database Systems,Efterår 2011,45,['Philippe Bonnet'],65,0.32142857142857145,KSDT,12,3.89,Engelsk,750,cand.it. softwareudvikling og -teknologi (sdt),KSDT,4.0
"[{'room': 'Aud 5 (3A12/14)', 'day': 'Onsdag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': 'Aud 5 (3A12/14)', 'day': 'Onsdag', 'time_slot': '10.00-11.50', 'type': 'Øvelser'}]",5.62,Business Foundations,Efterår 2011,40,['Bent Steenholt Kragelund'],60,0.3333333333333333,BGBI,12,5.62,Engelsk,750,Bachelor i global virksomhedsinformatik (bgbi),BGBI,3.25
"[{'room': 'Aud 3', 'day': 'Tirsdag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': '4A20, 2A18', 'day': 'Tirsdag', 'time_slot': '10.00-11.50', 'type': 'Øvelser'}, {'room': 'DesignLab', 'day': 'Fredag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': '4A14, 2A14', 'day': 'Fredag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}]",4.57,Co-design - Understanding and Involving users,Efterår 2011,70,"['Lene Nielsen', 'Sara Marie Ertner', 'Jonas Waaben']",76,0.31343283582089554,BDMD,12,4.81,Engelsk,1500,Bachelor i digitale medier og design (bdmd),BDMD,3.3
"[{'room': '2A20', 'day': 'Tirsdag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': '2A20', 'day': 'Tirsdag', 'time_slot': '10.00-11.50', 'type': 'Øvelser'}, {'room': '4A22', 'day': 'Torsdag', 'time_slot': '10.00-11.50', 'type': 'Forelæsning'}, {'room': '4A22', 'day': 'Torsdag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}]",5.75,Computer Games Culture,Efterår 2011,20,['Tina Lynn Taylor'],25,0.5714285714285714,KMTG,12,5.12,Engelsk,1500,cand.it. medieteknologi og spil (mtg),KMTG,4.0
"[{'room': '2A20', 'day': 'Mandag', 'time_slot': '17.00-18.50', 'type': 'Forelæsning'}, {'room': '2A20', 'day': 'Mandag', 'time_slot': '19.00-20.50', 'type': 'Øvelser'}]",3.75,Concept Development and Interactive Digital Media,Efterår 2011,20,['Villads Keiding'],25,0.3076923076923077,MINM,12,5.0,Dansk,750,Master i it interaktionsdesign og multimedier (inm),MINM,2.0
"[{'room': '4A20', 'day': 'Torsdag', 'time_slot': '14.00-15.50', 'type': 'Forelæsning'}, {'room': '4A20', 'day': 'Torsdag', 'time_slot': '16.00-17.50', 'type': 'Øvelser'}]",4.2,Design of User Interfaces and Data,Efterår 2011,15,['Flemming Hedegaard'],25,0.29411764705882354,MSOK,12,4.4,Dansk,750,Master i it softwarekonstruktion (sok),MSOK,2.8
