Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average;q7 replies;q7  % ;q7 average;q8 replies;q8  % ;q8 average;q9 replies;q9  % ;q9 average;q10 replies;q10  % ;q10 average;q11 replies;q11  % ;q11 average;q12 replies;q12  % ;q12 average;q13 replies;q13  % ;q13 average;q14 replies;q14  % ;q14 average;q15 replies;q15  % ;q15 average;q16 replies;q16  % ;q16 average;q17 replies;q17  % ;q17 average;q18 replies;q18  % ;q18 average;q19 replies;q19  % ;q19 average
?;Algoritmisk Probleml&oslash;sningsteknik;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KDKM;3-D Modellering;9 of 19;47;5.89;9 of 19;47;5.67;9 of 19;47;5.33;9 of 19;47;5.67;9 of 19;47;5.78;9 of 19;47;5.89;9 of 19;47;4.22;9 of 19;47;4.33;9 of 19;47;5.78;9 of 19;47;2.00;9 of 19;47;3.56;9 of 19;47;1.33;9 of 19;47;3.33;9 of 19;47;5.33;9 of 19;47;1.00;9 of 19;47;5.89;9 of 19;47;5.11;9 of 19;47;4.33;9 of 19;47;3.00
KDKM;Brugerpespektiver og Fremtidens Medier;4 of 11;36;6.00;4 of 11;36;5.50;4 of 11;36;5.50;4 of 11;36;4.75;4 of 11;36;3.00;4 of 11;36;5.00;4 of 11;36;4.75;4 of 11;36;5.75;4 of 11;36;5.25;4 of 11;36;3.50;4 of 11;36;5.00;4 of 11;36;2.50;4 of 11;36;5.25;4 of 11;36;5.25;4 of 11;36;1.50;4 of 11;36;5.75;4 of 11;36;5.75;4 of 11;36;4.50;4 of 11;36;3.00
KDKM;Design by Numbers;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KDKM;Digital &AElig;stetik I Teori og Praksis;11 of 20;55;5.55;11 of 20;55;5.18;11 of 20;55;5.18;11 of 20;55;4.36;11 of 20;55;4.45;11 of 20;55;5.36;11 of 20;55;4.55;11 of 20;55;4.36;11 of 20;55;4.18;11 of 20;55;2.82;11 of 20;55;4.45;11 of 20;55;3.00;11 of 20;55;4.82;11 of 20;55;5.36;11 of 20;55;1.64;11 of 20;55;5.09;11 of 20;55;4.91;11 of 20;55;3.27;11 of 20;55;2.00
KDKM;Grafisk Design;12 of 23;52;4.58;12 of 23;52;4.17;12 of 23;52;4.33;12 of 23;52;3.67;12 of 23;52;3.25;12 of 23;52;4.17;12 of 23;52;4.58;12 of 23;52;4.67;12 of 23;52;5.33;12 of 23;52;2.67;12 of 23;52;3.08;12 of 23;52;3.83;12 of 23;52;4.83;12 of 23;52;3.58;12 of 23;52;1.67;12 of 23;52;5.58;12 of 23;52;4.67;12 of 23;52;4.17;12 of 23;52;3.08
KDKM;Interaktionsdesign;18 of 35;51;4.17;18 of 35;51;3.83;18 of 35;51;4.61;18 of 35;51;5.28;18 of 35;51;4.56;18 of 35;51;2.72;18 of 35;51;3.83;18 of 35;51;3.94;18 of 35;51;4.50;18 of 35;51;4.28;18 of 35;51;2.39;18 of 35;51;3.61;18 of 35;51;3.00;18 of 35;51;3.94;18 of 35;51;1.94;18 of 35;51;5.06;18 of 35;51;4.67;18 of 35;51;4.50;18 of 35;51;4.28
KDKM;Introduktion til IT som Medie;14 of 30;46;5.14;14 of 30;46;5.07;14 of 30;46;5.36;14 of 30;46;5.36;14 of 30;46;5.29;14 of 30;46;5.07;14 of 30;46;4.21;14 of 30;46;3.64;14 of 30;46;2.57;14 of 30;46;3.71;14 of 30;46;4.50;14 of 30;46;2.57;14 of 30;46;5.29;14 of 30;46;3.43;14 of 30;46;2.79;14 of 30;46;5.07;14 of 30;46;5.07;14 of 30;46;3.21;14 of 30;46;3.21
KDKM;M&aring;lgruppeanalyse;2 of 12;16;5.50;2 of 12;16;5.00;2 of 12;16;6.00;2 of 12;16;6.00;2 of 12;16;6.00;2 of 12;16;6.00;2 of 12;16;5.50;2 of 12;16;6.00;2 of 12;16;6.00;2 of 12;16;3.00;2 of 12;16;4.50;2 of 12;16;3.00;2 of 12;16;5.50;2 of 12;16;6.00;2 of 12;16;2.50;2 of 12;16;6.00;2 of 12;16;6.00;2 of 12;16;3.00;2 of 12;16;2.50
KDKM;Web-design I;23 of 50;46;4.22;23 of 50;46;4.30;23 of 50;46;4.26;23 of 50;46;5.04;23 of 50;46;4.96;23 of 50;46;4.17;23 of 50;46;4.52;23 of 50;46;5.13;23 of 50;46;5.13;23 of 50;46;3.26;23 of 50;46;3.09;23 of 50;46;3.26;23 of 50;46;4.09;23 of 50;46;3.43;23 of 50;46;2.13;23 of 50;46;5.61;23 of 50;46;4.48;23 of 50;46;4.48;23 of 50;46;4.22
KDKM;Web-design II;19 of 38;50;4.37;19 of 38;50;4.63;19 of 38;50;3.84;19 of 38;50;3.89;19 of 38;50;5.42;19 of 38;50;5.37;19 of 38;50;3.79;19 of 38;50;4.37;19 of 38;50;5.68;19 of 38;50;2.21;19 of 38;50;3.74;19 of 38;50;2.84;19 of 38;50;3.32;19 of 38;50;4.53;19 of 38;50;1.47;19 of 38;50;5.84;19 of 38;50;4.42;19 of 38;50;4.58;19 of 38;50;3.95
KEBUSS;Centrale Databaser;3 of 12;25;4.33;3 of 12;25;4.67;3 of 12;25;5.00;3 of 12;25;5.33;3 of 12;25;3.33;3 of 12;25;5.00;3 of 12;25;4.33;3 of 12;25;5.00;3 of 12;25;4.67;3 of 12;25;3.67;3 of 12;25;2.00;3 of 12;25;3.00;3 of 12;25;3.00;3 of 12;25;4.00;3 of 12;25;4.00;3 of 12;25;6.00;3 of 12;25;5.33;3 of 12;25;3.00;3 of 12;25;2.00
KEBUSS;Distribuerede Databaser/Rightsizing;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KEBUSS;E-ventures;13 of 32;40;4.62;13 of 32;40;3.77;13 of 32;40;3.85;13 of 32;40;4.85;13 of 32;40;4.08;13 of 32;40;3.85;13 of 32;40;4.69;13 of 32;40;5.46;13 of 32;40;5.62;13 of 32;40;3.46;13 of 32;40;3.23;13 of 32;40;2.62;13 of 32;40;2.23;13 of 32;40;2.54;13 of 32;40;2.00;13 of 32;40;5.92;13 of 32;40;4.23;13 of 32;40;3.15;13 of 32;40;3.15
KEBUSS;Global ventures;13 of 34;38;4.46;13 of 34;38;4.31;13 of 34;38;4.08;13 of 34;38;4.77;13 of 34;38;2.69;13 of 34;38;4.00;13 of 34;38;4.92;13 of 34;38;4.85;13 of 34;38;5.15;13 of 34;38;3.46;13 of 34;38;3.31;13 of 34;38;3.38;13 of 34;38;3.00;13 of 34;38;2.77;13 of 34;38;2.08;13 of 34;38;5.31;13 of 34;38;5.31;13 of 34;38;3.46;13 of 34;38;3.08
KEBUSS;Internet Jura;9 of 23;39;5.44;9 of 23;39;5.78;9 of 23;39;5.56;9 of 23;39;5.56;9 of 23;39;3.67;9 of 23;39;5.11;9 of 23;39;4.56;9 of 23;39;4.89;9 of 23;39;5.22;9 of 23;39;4.00;9 of 23;39;3.56;9 of 23;39;2.44;9 of 23;39;5.00;9 of 23;39;4.22;9 of 23;39;3.22;9 of 23;39;5.89;9 of 23;39;5.11;9 of 23;39;2.56;9 of 23;39;1.89
KEBUSS;Projektledelse, EBUSS;12 of 32;37;4.42;12 of 32;37;3.92;12 of 32;37;3.17;12 of 32;37;4.25;12 of 32;37;1.17;12 of 32;37;2.67;12 of 32;37;3.33;12 of 32;37;5.33;12 of 32;37;4.17;12 of 32;37;4.33;12 of 32;37;3.42;12 of 32;37;3.33;12 of 32;37;3.42;12 of 32;37;2.83;12 of 32;37;2.67;12 of 32;37;5.33;12 of 32;37;4.67;12 of 32;37;3.08;12 of 32;37;2.92
KEBUSS;Standarder og Softinfrastructure;12 of 32;37;4.83;12 of 32;37;4.75;12 of 32;37;4.58;12 of 32;37;5.17;12 of 32;37;4.83;12 of 32;37;4.58;12 of 32;37;4.67;12 of 32;37;4.83;12 of 32;37;3.92;12 of 32;37;3.08;12 of 32;37;4.33;12 of 32;37;3.50;12 of 32;37;4.50;12 of 32;37;4.92;12 of 32;37;2.08;12 of 32;37;4.83;12 of 32;37;5.17;12 of 32;37;2.83;12 of 32;37;2.33
KEBUSS;Systemer til Elektronisk Handel;10 of 24;41;4.70;10 of 24;41;4.80;10 of 24;41;3.90;10 of 24;41;4.80;10 of 24;41;5.00;10 of 24;41;4.80;10 of 24;41;4.70;10 of 24;41;5.00;10 of 24;41;4.40;10 of 24;41;4.50;10 of 24;41;5.40;10 of 24;41;1.60;10 of 24;41;4.10;10 of 24;41;3.80;10 of 24;41;2.20;10 of 24;41;5.20;10 of 24;41;3.70;10 of 24;41;4.40;10 of 24;41;4.30
