Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average;q7 replies;q7  % ;q7 average;q8 replies;q8  % ;q8 average;q9 replies;q9  % ;q9 average;q10 replies;q10  % ;q10 average;q11 replies;q11  % ;q11 average
KDKM;3D-beginner;15 of 24;62;5.80;15 of 24;62;5.27;15 of 24;62;4.33;15 of 24;62;5.73;15 of 24;62;2.00;15 of 24;62;3.73;15 of 24;62;2.80;15 of 24;62;2.73;15 of 24;62;5.20;15 of 24;62;5.13;15 of 24;62;2.93
KDKM;Advanced multimedia production at the Internet;8 of 19;42;4.38;8 of 19;42;3.50;8 of 19;42;4.62;8 of 19;42;5.50;8 of 19;42;3.12;8 of 19;42;2.75;8 of 19;42;3.75;8 of 19;42;3.12;8 of 19;42;4.88;8 of 19;42;3.62;8 of 19;42;2.25
KDKM;Basic Web Design;27 of 41;65;4.78;27 of 41;65;4.67;27 of 41;65;4.78;27 of 41;65;5.15;27 of 41;65;4.00;27 of 41;65;2.74;27 of 41;65;3.89;27 of 41;65;3.85;27 of 41;65;5.22;27 of 41;65;4.37;27 of 41;65;3.07
KDKM;Database-based web publishing;36 of 63;57;5.56;36 of 63;57;5.83;36 of 63;57;5.19;36 of 63;57;5.56;36 of 63;57;2.50;36 of 63;57;3.81;36 of 63;57;2.67;36 of 63;57;3.33;36 of 63;57;4.47;36 of 63;57;4.08;36 of 63;57;3.17
KDKM;Digital sound;11 of 18;61;5.27;11 of 18;61;5.00;11 of 18;61;4.27;11 of 18;61;4.82;11 of 18;61;4.00;11 of 18;61;4.55;11 of 18;61;3.27;11 of 18;61;4.64;11 of 18;61;5.36;11 of 18;61;3.64;11 of 18;61;2.64
KDKM;Digital video production;14 of 20;70;5.50;14 of 20;70;4.36;14 of 20;70;5.14;14 of 20;70;5.00;14 of 20;70;3.86;14 of 20;70;3.50;14 of 20;70;3.93;14 of 20;70;3.86;14 of 20;70;4.86;14 of 20;70;3.57;14 of 20;70;2.79
KDKM;Graphic Design 1;15 of 23;65;4.00;15 of 23;65;3.80;15 of 23;65;4.40;15 of 23;65;5.00;15 of 23;65;3.27;15 of 23;65;2.00;15 of 23;65;4.73;15 of 23;65;4.53;15 of 23;65;4.93;15 of 23;65;3.67;15 of 23;65;3.00
KDKM;IT as a Media;11 of 20;55;3.55;11 of 20;55;3.91;11 of 20;55;3.45;11 of 20;55;1.82;11 of 20;55;3.64;11 of 20;55;4.36;11 of 20;55;3.18;11 of 20;55;4.00;11 of 20;55;5.18;11 of 20;55;3.27;11 of 20;55;2.82
KDKM;Interaction design;25 of 40;62;2.64;25 of 40;62;2.20;25 of 40;62;3.52;25 of 40;62;4.44;25 of 40;62;3.88;25 of 40;62;1.64;25 of 40;62;5.24;25 of 40;62;2.04;25 of 40;62;4.76;25 of 40;62;3.48;25 of 40;62;3.00
KDKM;Managing digital content production;11 of 27;40;3.91;11 of 27;40;3.73;11 of 27;40;4.64;11 of 27;40;4.55;11 of 27;40;3.91;11 of 27;40;3.73;11 of 27;40;3.82;11 of 27;40;3.64;11 of 27;40;4.55;11 of 27;40;3.09;11 of 27;40;2.82
KDKM;Spaces and Geographies of the Internet;5 of 18;27;5.20;5 of 18;27;4.60;5 of 18;27;4.00;5 of 18;27;2.80;5 of 18;27;4.00;5 of 18;27;5.00;5 of 18;27;3.60;5 of 18;27;5.40;5 of 18;27;5.20;5 of 18;27;3.40;5 of 18;27;2.00
KDKM;Target group analysis;15 of 25;60;5.13;15 of 25;60;5.20;15 of 25;60;4.73;15 of 25;60;4.93;15 of 25;60;2.80;15 of 25;60;3.53;15 of 25;60;3.60;15 of 25;60;4.73;15 of 25;60;5.20;15 of 25;60;3.20;15 of 25;60;2.47
KDKM;Text communication at the Internet;17 of 34;50;4.35;17 of 34;50;3.71;17 of 34;50;4.94;17 of 34;50;4.94;17 of 34;50;3.12;17 of 34;50;2.41;17 of 34;50;5.00;17 of 34;50;4.35;17 of 34;50;5.47;17 of 34;50;2.71;17 of 34;50;1.88
KDKM;Usability Engineering;21 of 29;72;5.52;21 of 29;72;5.38;21 of 29;72;5.62;21 of 29;72;5.29;21 of 29;72;2.90;21 of 29;72;4.38;21 of 29;72;3.48;21 of 29;72;5.00;21 of 29;72;5.05;21 of 29;72;4.19;21 of 29;72;3.81
KDKM;Users perspectives and the media of the future;14 of 25;56;4.21;14 of 25;56;3.93;14 of 25;56;4.79;14 of 25;56;5.07;14 of 25;56;2.86;14 of 25;56;2.43;14 of 25;56;4.93;14 of 25;56;3.57;14 of 25;56;4.79;14 of 25;56;3.29;14 of 25;56;2.64
KEBUSS;B1 Taktiske og strategiske værktøjer til e-handel;21 of 47;44;4.71;21 of 47;44;4.38;21 of 47;44;4.95;21 of 47;44;4.38;21 of 47;44;3.76;21 of 47;44;3.76;21 of 47;44;4.10;21 of 47;44;4.33;21 of 47;44;4.52;21 of 47;44;3.43;21 of 47;44;2.76
KEBUSS;B3 Logistik og Supply Chain Management;11 of 15;73;5.55;11 of 15;73;5.55;11 of 15;73;4.82;11 of 15;73;5.55;11 of 15;73;2.55;11 of 15;73;4.18;11 of 15;73;3.00;11 of 15;73;5.36;11 of 15;73;4.82;11 of 15;73;3.27;11 of 15;73;3.09
KEBUSS;B4 Marketing og e-handel;9 of 26;34;5.00;9 of 26;34;4.56;9 of 26;34;5.33;9 of 26;34;4.89;9 of 26;34;3.56;9 of 26;34;4.67;9 of 26;34;3.56;9 of 26;34;5.11;9 of 26;34;5.33;9 of 26;34;4.89;9 of 26;34;4.89
KEBUSS;B5 E-commerce - markets and business models;11 of 27;40;5.00;11 of 27;40;4.82;11 of 27;40;5.27;11 of 27;40;4.09;11 of 27;40;4.55;11 of 27;40;4.36;11 of 27;40;4.09;11 of 27;40;4.45;11 of 27;40;5.09;11 of 27;40;3.09;11 of 27;40;2.73
KEBUSS;B6 IT innovation og virksomhedsopstart;17 of 33;51;5.59;17 of 33;51;5.00;17 of 33;51;5.76;17 of 33;51;5.12;17 of 33;51;3.18;17 of 33;51;4.65;17 of 33;51;2.47;17 of 33;51;5.18;17 of 33;51;5.12;17 of 33;51;3.71;17 of 33;51;3.18
KEBUSS;B7 Standarder og softinfrastrukturer;7 of 20;35;3.43;7 of 20;35;2.14;7 of 20;35;3.71;7 of 20;35;3.71;7 of 20;35;4.29;7 of 20;35;2.86;7 of 20;35;5.14;7 of 20;35;3.00;7 of 20;35;4.57;7 of 20;35;2.43;7 of 20;35;2.57
KEBUSS;B8 Projektledelse;15 of 34;44;4.93;15 of 34;44;4.53;15 of 34;44;5.40;15 of 34;44;4.93;15 of 34;44;3.33;15 of 34;44;3.67;15 of 34;44;3.93;15 of 34;44;4.20;15 of 34;44;4.73;15 of 34;44;3.40;15 of 34;44;2.93
