Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average;q7 replies;q7  % ;q7 average;q8 replies;q8  % ;q8 average;q9 replies;q9  % ;q9 average;q10 replies;q10  % ;q10 average;q11 replies;q11  % ;q11 average
KDKM;3D-beginner;8 of 24;33;5.62;8 of 24;33;5.75;8 of 24;33;4.75;8 of 24;33;5.75;8 of 24;33;2.50;8 of 24;33;3.25;8 of 24;33;2.88;8 of 24;33;4.25;8 of 24;33;5.12;8 of 24;33;4.62;8 of 24;33;4.12
KDKM;Advanced 3D modelling;11 of 15;73;5.36;11 of 15;73;5.18;11 of 15;73;5.18;11 of 15;73;5.55;11 of 15;73;2.82;11 of 15;73;3.09;11 of 15;73;4.64;11 of 15;73;4.27;11 of 15;73;5.18;11 of 15;73;4.91;11 of 15;73;3.82
KDKM;Advanced interaction design;9 of 21;42;4.67;9 of 21;42;4.67;9 of 21;42;4.22;9 of 21;42;2.89;9 of 21;42;3.89;9 of 21;42;3.44;9 of 21;42;4.11;9 of 21;42;4.00;9 of 21;42;5.11;9 of 21;42;4.00;9 of 21;42;3.00
KDKM;Advanced multimedia production at the Internet;11 of 29;37;5.55;11 of 29;37;5.55;11 of 29;37;5.00;11 of 29;37;5.36;11 of 29;37;4.18;11 of 29;37;3.45;11 of 29;37;3.45;11 of 29;37;4.18;11 of 29;37;5.18;11 of 29;37;4.18;11 of 29;37;3.00
KDKM;Basic Web Design;23 of 61;37;5.09;23 of 61;37;4.35;23 of 61;37;4.87;23 of 61;37;4.91;23 of 61;37;3.87;23 of 61;37;3.48;23 of 61;37;3.00;23 of 61;37;4.09;23 of 61;37;4.87;23 of 61;37;3.83;23 of 61;37;3.52
KDKM;Computer games: Developing an online multiplayer game;16 of 27;59;4.69;16 of 27;59;4.69;16 of 27;59;3.69;16 of 27;59;4.62;16 of 27;59;3.19;16 of 27;59;4.12;16 of 27;59;3.19;16 of 27;59;4.81;16 of 27;59;4.94;16 of 27;59;4.75;16 of 27;59;4.12
KDKM;Database-based web publishing;21 of 41;51;3.95;21 of 41;51;3.71;21 of 41;51;5.05;21 of 41;51;4.90;21 of 41;51;3.38;21 of 41;51;3.95;21 of 41;51;2.57;21 of 41;51;3.76;21 of 41;51;4.14;21 of 41;51;5.43;21 of 41;51;5.10
KDKM;Design of complex user interfaces for the web; advanced course in graphic design;3 of 16;18;5.33;3 of 16;18;4.67;3 of 16;18;5.67;3 of 16;18;4.67;3 of 16;18;3.33;3 of 16;18;2.67;3 of 16;18;3.33;3 of 16;18;4.67;3 of 16;18;4.67;3 of 16;18;5.00;3 of 16;18;5.00
KDKM;Designing content for digital television and broadband programmes and services;8 of 17;47;5.00;8 of 17;47;4.25;8 of 17;47;4.75;8 of 17;47;5.38;8 of 17;47;2.62;8 of 17;47;3.25;8 of 17;47;3.88;8 of 17;47;3.88;8 of 17;47;5.50;8 of 17;47;3.38;8 of 17;47;2.50
KDKM;Digital Video Post Production and DVD-Production;6 of 14;42;4.50;6 of 14;42;4.00;6 of 14;42;4.33;6 of 14;42;4.33;6 of 14;42;4.33;6 of 14;42;5.00;6 of 14;42;2.67;6 of 14;42;5.33;6 of 14;42;4.00;6 of 14;42;4.83;6 of 14;42;4.17
KDKM;IT Sociology;9 of 28;32;4.78;9 of 28;32;5.11;9 of 28;32;4.67;9 of 28;32;3.22;9 of 28;32;4.11;9 of 28;32;4.56;9 of 28;32;2.44;9 of 28;32;4.78;9 of 28;32;4.78;9 of 28;32;2.89;9 of 28;32;2.56
KDKM;Interaction design;21 of 43;48;5.05;21 of 43;48;4.76;21 of 43;48;4.90;21 of 43;48;5.19;21 of 43;48;3.19;21 of 43;48;3.81;21 of 43;48;2.62;21 of 43;48;4.62;21 of 43;48;4.86;21 of 43;48;3.48;21 of 43;48;2.57
KDKM;Introduction to IT as a medium of communication;13 of 37;35;5.31;13 of 37;35;5.38;13 of 37;35;4.54;13 of 37;35;3.46;13 of 37;35;3.62;13 of 37;35;5.62;13 of 37;35;1.62;13 of 37;35;5.38;13 of 37;35;4.54;13 of 37;35;3.23;13 of 37;35;2.92
KDKM;Learning and IT;22 of 44;50;4.86;22 of 44;50;4.59;22 of 44;50;5.18;22 of 44;50;4.09;22 of 44;50;4.91;22 of 44;50;4.41;22 of 44;50;3.05;22 of 44;50;4.36;22 of 44;50;5.27;22 of 44;50;3.50;22 of 44;50;2.50
KDKM;Managing digital content production;19 of 28;67;5.21;19 of 28;67;5.26;19 of 28;67;5.53;19 of 28;67;5.11;19 of 28;67;3.37;19 of 28;67;4.11;19 of 28;67;3.68;19 of 28;67;4.84;19 of 28;67;5.00;19 of 28;67;2.53;19 of 28;67;2.00
KDKM;Operationel analysis of web behavior;4 of 9;44;5.50;4 of 9;44;5.00;4 of 9;44;5.50;4 of 9;44;5.25;4 of 9;44;2.25;4 of 9;44;2.00;4 of 9;44;4.50;4 of 9;44;3.75;4 of 9;44;3.75;4 of 9;44;3.00;4 of 9;44;2.00
KDKM;Sound in digital productions;4 of 11;36;4.75;4 of 11;36;4.50;4 of 11;36;4.75;4 of 11;36;4.00;4 of 11;36;5.50;4 of 11;36;4.00;4 of 11;36;4.50;4 of 11;36;4.50;4 of 11;36;5.50;4 of 11;36;4.00;4 of 11;36;4.50
KDKM;Target group analysis;12 of 27;44;4.92;12 of 27;44;5.25;12 of 27;44;5.33;12 of 27;44;5.08;12 of 27;44;2.75;12 of 27;44;3.50;12 of 27;44;3.83;12 of 27;44;4.58;12 of 27;44;5.50;12 of 27;44;3.25;12 of 27;44;2.08
KDKM;Techno-logos - Technology in context;3 of 16;18;5.67;3 of 16;18;5.33;3 of 16;18;4.33;3 of 16;18;3.33;3 of 16;18;1.67;3 of 16;18;5.67;3 of 16;18;4.33;3 of 16;18;6.00;3 of 16;18;4.00;3 of 16;18;3.33;3 of 16;18;3.33
KDKM;Text communication at the Internet;14 of 33;42;5.14;14 of 33;42;5.00;14 of 33;42;5.14;14 of 33;42;5.36;14 of 33;42;3.14;14 of 33;42;2.86;14 of 33;42;3.50;14 of 33;42;4.43;14 of 33;42;5.64;14 of 33;42;3.07;14 of 33;42;2.36
KDKM;Usability;8 of 19;42;5.75;8 of 19;42;5.62;8 of 19;42;5.50;8 of 19;42;5.25;8 of 19;42;3.12;8 of 19;42;4.62;8 of 19;42;3.38;8 of 19;42;5.00;8 of 19;42;5.50;8 of 19;42;3.38;8 of 19;42;2.88
KDKM; Digital video communication;6 of 17;35;5.33;6 of 17;35;4.50;6 of 17;35;4.83;6 of 17;35;4.83;6 of 17;35;4.17;6 of 17;35;3.50;6 of 17;35;2.50;6 of 17;35;4.67;6 of 17;35;4.83;6 of 17;35;5.17;6 of 17;35;4.33
KEBUSS;B1 Tactical and strategic tools for e-business;20 of 35;57;4.50;20 of 35;57;4.30;20 of 35;57;4.95;20 of 35;57;4.05;20 of 35;57;4.35;20 of 35;57;4.15;20 of 35;57;3.15;20 of 35;57;4.55;20 of 35;57;4.70;20 of 35;57;3.70;20 of 35;57;3.00
KEBUSS;B6 IT innovation og virksomhedsopstart;10 of 16;62;4.60;10 of 16;62;4.40;10 of 16;62;4.90;10 of 16;62;4.40;10 of 16;62;5.10;10 of 16;62;5.20;10 of 16;62;3.00;10 of 16;62;4.60;10 of 16;62;4.40;10 of 16;62;4.40;10 of 16;62;3.20
KEBUSS;B8 IT Project management;20 of 29;68;5.15;20 of 29;68;4.85;20 of 29;68;5.55;20 of 29;68;5.40;20 of 29;68;3.00;20 of 29;68;4.15;20 of 29;68;3.70;20 of 29;68;4.45;20 of 29;68;5.05;20 of 29;68;3.20;20 of 29;68;2.90
KEBUSS;B9 Knowledge Management;11 of 18;61;5.45;11 of 18;61;5.18;11 of 18;61;5.09;11 of 18;61;4.45;11 of 18;61;3.27;11 of 18;61;4.91;11 of 18;61;2.36;11 of 18;61;5.09;11 of 18;61;4.91;11 of 18;61;3.55;11 of 18;61;3.09
KEBUSS;E-learning;8 of 18;44;3.88;8 of 18;44;3.62;8 of 18;44;4.75;8 of 18;44;3.62;8 of 18;44;3.88;8 of 18;44;3.50;8 of 18;44;3.75;8 of 18;44;3.38;8 of 18;44;4.88;8 of 18;44;2.88;8 of 18;44;2.75
KEBUSS;International Internet law;8 of 16;50;4.25;8 of 16;50;4.88;8 of 16;50;4.25;8 of 16;50;3.75;8 of 16;50;4.38;8 of 16;50;4.75;8 of 16;50;2.62;8 of 16;50;4.50;8 of 16;50;4.75;8 of 16;50;4.25;8 of 16;50;3.25
KEBUSS;National internet law;28 of 44;63;5.54;28 of 44;63;5.43;28 of 44;63;5.00;28 of 44;63;5.04;28 of 44;63;4.14;28 of 44;63;4.39;28 of 44;63;3.11;28 of 44;63;4.96;28 of 44;63;5.07;28 of 44;63;3.36;28 of 44;63;3.04
KEBUSS;Object-Oriented Programming in Java;10 of 15;66;5.00;10 of 15;66;5.50;10 of 15;66;5.30;10 of 15;66;5.10;10 of 15;66;3.00;10 of 15;66;5.80;10 of 15;66;2.00;10 of 15;66;4.30;10 of 15;66;4.00;10 of 15;66;5.10;10 of 15;66;5.00
KEBUSS;Supply Chain Management;9 of 22;40;5.22;9 of 22;40;5.67;9 of 22;40;5.00;9 of 22;40;5.33;9 of 22;40;2.67;9 of 22;40;4.00;9 of 22;40;2.89;9 of 22;40;4.89;9 of 22;40;4.78;9 of 22;40;3.56;9 of 22;40;2.56
KEBUSS;T0 Grundkursus i netværk og operativsystemer;16 of 35;45;5.12;16 of 35;45;5.12;16 of 35;45;4.19;16 of 35;45;4.62;16 of 35;45;4.38;16 of 35;45;4.94;16 of 35;45;2.81;16 of 35;45;4.88;16 of 35;45;4.62;16 of 35;45;4.31;16 of 35;45;3.44
KEBUSS;T6 IT-sikkerhed;20 of 36;55;5.15;20 of 36;55;5.25;20 of 36;55;4.70;20 of 36;55;5.10;20 of 36;55;3.50;20 of 36;55;4.45;20 of 36;55;2.95;20 of 36;55;5.25;20 of 36;55;4.95;20 of 36;55;3.25;20 of 36;55;2.55
KINT;Advanced Protocols;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KINT;Approximation Algorithms;2 of 5;40;4.50;2 of 5;40;5.50;2 of 5;40;4.00;2 of 5;40;4.00;2 of 5;40;3.50;2 of 5;40;6.00;2 of 5;40;1.50;2 of 5;40;3.50;2 of 5;40;6.00;2 of 5;40;6.00;2 of 5;40;6.00
KINT;Artificial Intelligence;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KINT;Concurrency;13 of 18;72;4.77;13 of 18;72;4.77;13 of 18;72;4.15;13 of 18;72;4.62;13 of 18;72;3.77;13 of 18;72;4.38;13 of 18;72;2.46;13 of 18;72;3.85;13 of 18;72;4.46;13 of 18;72;3.62;13 of 18;72;2.77
KINT;Data Security;16 of 41;39;5.25;16 of 41;39;5.06;16 of 41;39;5.06;16 of 41;39;4.38;16 of 41;39;3.75;16 of 41;39;5.12;16 of 41;39;2.75;16 of 41;39;4.62;16 of 41;39;4.88;16 of 41;39;3.69;16 of 41;39;3.44
KINT;Data on the Web;30 of 67;44;4.57;30 of 67;44;4.57;30 of 67;44;4.13;30 of 67;44;2.63;30 of 67;44;3.93;30 of 67;44;5.40;30 of 67;44;2.97;30 of 67;44;4.93;30 of 67;44;4.93;30 of 67;44;3.57;30 of 67;44;3.17
KINT;Distributed Systems;10 of 25;40;5.00;10 of 25;40;4.30;10 of 25;40;5.00;10 of 25;40;4.30;10 of 25;40;3.50;10 of 25;40;4.40;10 of 25;40;3.20;10 of 25;40;3.60;10 of 25;40;4.80;10 of 25;40;3.60;10 of 25;40;3.30
KINT;Future Mobile Communication Systems;3 of 13;23;5.33;3 of 13;23;3.67;3 of 13;23;3.33;3 of 13;23;2.67;3 of 13;23;4.00;3 of 13;23;3.33;3 of 13;23;5.00;3 of 13;23;3.33;3 of 13;23;4.00;3 of 13;23;3.33;3 of 13;23;3.33
KINT;IT-mathematics;8 of 20;40;2.25;8 of 20;40;2.25;8 of 20;40;2.38;8 of 20;40;1.50;8 of 20;40;5.25;8 of 20;40;5.88;8 of 20;40;1.00;8 of 20;40;2.25;8 of 20;40;3.00;8 of 20;40;4.12;8 of 20;40;5.12
KINT;Introduction to Programming - Concepts and Tools;12 of 41;29;5.67;12 of 41;29;5.42;12 of 41;29;5.67;12 of 41;29;5.42;12 of 41;29;3.58;12 of 41;29;4.17;12 of 41;29;2.83;12 of 41;29;4.67;12 of 41;29;5.00;12 of 41;29;3.92;12 of 41;29;3.33
KINT;Networks and Protocols;21 of 42;50;4.95;21 of 42;50;5.33;21 of 42;50;5.00;21 of 42;50;4.05;21 of 42;50;3.48;21 of 42;50;3.71;21 of 42;50;3.33;21 of 42;50;4.00;21 of 42;50;5.24;21 of 42;50;2.76;21 of 42;50;2.52
KINT;Telecommunication Economics and Policy;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KINT;The Corporate Intranet;1 of 10;10;5.00;1 of 10;10;6.00;1 of 10;10;4.00;1 of 10;10;6.00;1 of 10;10;2.00;1 of 10;10;3.00;1 of 10;10;3.00;1 of 10;10;5.00;1 of 10;10;6.00;1 of 10;10;3.00;1 of 10;10;3.00
