Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average
BDMD;Co-design - Understanding and Involving users;28 of 64;43;4.25;27 of 64;42;4.70;27 of 64;42;4.85;28 of 64;43;4.46;27 of 64;42;3.89;27 of 64;42;4.74
BDMD;Digital Aesthetics;30 of 64;46;3.30;29 of 64;45;3.76;28 of 64;43;4.14;30 of 64;46;3.10;29 of 64;45;2.83;30 of 64;46;4.10
BDMD;Dissemination, Project Work and Web Design;51 of 80;63;4.53;51 of 80;63;4.78;50 of 80;62;4.50;51 of 80;63;4.80;50 of 80;62;3.72;51 of 80;63;4.43
BDMD;Introduction to Interaction Design;53 of 81;65;5.08;52 of 81;64;5.02;52 of 81;64;4.96;53 of 81;65;4.62;52 of 81;64;3.58;52 of 81;64;4.92
BDMD;Introduction to Media and Communication;53 of 80;66;5.70;52 of 80;65;5.42;52 of 80;65;5.42;52 of 80;65;4.94;51 of 80;63;3.41;52 of 80;65;4.69
BDMD;Mobile Media and Social IT;31 of 67;46;4.10;31 of 67;46;4.16;29 of 67;43;4.48;31 of 67;46;4.03;31 of 67;46;3.81;31 of 67;46;3.81
BGBI;IT Foundations;26 of 47;55;3.42;26 of 47;55;3.08;26 of 47;55;3.15;26 of 47;55;4.08;25 of 47;53;4.36;24 of 47;51;4.29
BGBI;New Media and Communication;26 of 47;55;4.42;25 of 47;53;4.52;25 of 47;53;4.80;26 of 47;55;4.54;26 of 47;55;4.23;26 of 47;55;4.19
BGBI;Society and Technology;27 of 47;57;5.59;27 of 47;57;5.44;26 of 47;55;5.50;26 of 47;55;5.08;26 of 47;55;3.96;26 of 47;55;4.77
BSWU;Analysis, Design and Software Architecture;28 of 48;58;5.11;27 of 48;56;4.96;25 of 48;52;5.08;28 of 48;58;5.32;28 of 48;58;3.14;28 of 48;58;4.86
BSWU;Business Processes and Organisation;15 of 35;42;4.93;14 of 35;40;5.07;14 of 35;40;5.00;15 of 35;42;5.00;15 of 35;42;4.07;15 of 35;42;4.67
BSWU;Data Storage and Formats;27 of 47;57;4.96;25 of 47;53;5.28;24 of 47;51;5.08;26 of 47;55;4.88;26 of 47;55;3.35;26 of 47;55;4.85
BSWU;Distributed Systems and Protocols;26 of 49;53;3.54;24 of 49;48;4.50;23 of 49;46;4.48;26 of 49;53;4.31;26 of 49;53;3.62;26 of 49;53;4.15
BSWU;Introductory Programming;50 of 72;69;5.56;46 of 72;63;5.48;46 of 72;63;5.35;50 of 72;69;5.78;49 of 72;68;2.82;50 of 72;69;5.10
BSWU;Operating Systems and C;14 of 31;45;4.93;13 of 31;41;5.15;13 of 31;41;5.23;14 of 31;45;4.21;14 of 31;45;3.71;14 of 31;45;4.50
BSWU;Programs as Data;14 of 31;45;5.29;13 of 31;41;5.38;13 of 31;41;5.23;14 of 31;45;4.14;14 of 31;45;4.43;14 of 31;45;4.79
BSWU;Project Work and Communication;25 of 34;73;3.64;23 of 34;67;4.57;21 of 34;61;4.43;24 of 34;70;4.00;22 of 34;64;3.82;23 of 34;67;4.17
BSWU;Project Work and Communication;25 of 39;64;4.04;22 of 39;56;4.50;20 of 39;51;4.60;26 of 39;66;4.04;26 of 39;66;2.88;26 of 39;66;4.15
BSWU;Systematic Design of User Interfaces;50 of 72;69;5.26;48 of 72;66;5.65;47 of 72;65;5.34;50 of 72;69;5.12;48 of 72;66;3.15;49 of 72;68;4.02
KDDK;Basic Graphic Design - group 2;17 of 31;54;5.24;17 of 31;54;5.59;16 of 31;51;5.69;16 of 31;51;5.44;17 of 31;54;4.65;17 of 31;54;5.06
KDDK;Digital Culture and Society;2 of 9;22;5.50;2 of 9;22;5.50;2 of 9;22;5.50;2 of 9;22;5.00;2 of 9;22;3.50;2 of 9;22;5.00
KDDK;Digital Rhetorics;38 of 74;51;5.21;35 of 74;47;5.31;37 of 74;50;5.35;36 of 74;48;5.19;38 of 74;51;4.68;38 of 74;51;4.87
KDDK;Digtal Aesthetics: Theory and Practice;11 of 21;52;3.91;11 of 21;52;3.55;11 of 21;52;3.73;11 of 21;52;3.18;11 of 21;52;3.27;11 of 21;52;4.09
KDDK;Experimental Design and Analysis;5 of 8;62;4.80;5 of 8;62;5.00;5 of 8;62;5.00;5 of 8;62;5.20;5 of 8;62;3.60;5 of 8;62;4.60
