Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average
BDMD;Designing Digital Play;12 of 28;42;5.00;12 of 28;42;4.92;12 of 28;42;4.83;12 of 28;42;4.50;11 of 28;39;3.55;12 of 28;42;5.08
BDMD;Digital Media Culture;35 of 77;45;4.91;35 of 77;45;4.86;34 of 77;44;5.00;35 of 77;45;4.63;35 of 77;45;3.29;35 of 77;45;4.06
BDMD;E-Business and Understanding Business;6 of 38;15;5.67;6 of 38;15;5.33;6 of 38;15;5.67;6 of 38;15;5.33;6 of 38;15;3.67;6 of 38;15;5.17
BDMD;IT in Organizations - a Practice Approach ;11 of 27;40;3.73;11 of 27;40;4.64;11 of 27;40;4.82;11 of 27;40;3.00;11 of 27;40;3.00;11 of 27;40;4.55
BDMD;Innovation and Entrepreneurship;15 of 56;26;4.80;15 of 56;26;5.40;15 of 56;26;5.33;15 of 56;26;4.80;14 of 56;25;3.21;14 of 56;25;4.93
BDMD;Introduction to Programming;10 of 44;22;5.30;10 of 44;22;5.70;10 of 44;22;5.20;10 of 44;22;4.30;10 of 44;22;3.10;10 of 44;22;3.60
BDMD;Philosophy of Science;15 of 57;26;3.60;15 of 57;26;5.07;15 of 57;26;5.00;16 of 57;28;3.38;14 of 57;24;3.79;15 of 57;26;3.93
BDMD;Project Cluster. B.Sc. Project;12 of 56;21;5.50;12 of 56;21;5.75;11 of 56;19;5.73;12 of 56;21;5.58;13 of 56;23;4.77;13 of 56;23;5.54
BDMD;Project Cluster: Concept Development with Industry;19 of 69;27;3.79;19 of 69;27;4.58;19 of 69;27;4.79;19 of 69;27;4.68;19 of 69;27;3.53;19 of 69;27;4.47
BDMD;Project Cluster: Crossmedia;33 of 76;43;4.58;30 of 76;39;4.90;29 of 76;38;5.07;30 of 76;39;4.73;31 of 76;40;3.48;31 of 76;40;4.61
BDMD;Sketching and Prototyping;33 of 77;42;4.52;32 of 77;41;4.69;32 of 77;41;4.84;33 of 77;42;4.36;33 of 77;42;2.76;33 of 77;42;4.36
BGBI;Database Use and Design;18 of 50;36;4.00;18 of 50;36;4.28;18 of 50;36;4.44;18 of 50;36;4.33;17 of 50;34;3.35;18 of 50;36;4.00
BGBI;Global Project Management;18 of 50;36;5.72;18 of 50;36;5.61;18 of 50;36;5.44;18 of 50;36;5.44;18 of 50;36;4.22;18 of 50;36;4.67
BGBI;IT & Work Design;18 of 50;36;4.67;18 of 50;36;5.56;18 of 50;36;5.44;18 of 50;36;4.83;18 of 50;36;4.50;18 of 50;36;4.50
BGBI;IT Enabled Process Improvement;10 of 40;25;4.80;9 of 40;22;5.56;9 of 40;22;5.44;9 of 40;22;5.44;9 of 40;22;4.00;9 of 40;22;4.78
BGBI;IT and Business Process Modeling;8 of 40;20;5.12;7 of 40;17;5.57;7 of 40;17;5.57;7 of 40;17;4.86;7 of 40;17;3.57;7 of 40;17;4.14
BGBI;Philosophy of Science and Technology;8 of 40;20;4.25;8 of 40;20;4.75;8 of 40;20;4.62;8 of 40;20;2.88;8 of 40;20;2.75;8 of 40;20;3.75
BSWU;Algorithms and Data Structures;27 of 70;38;5.85;25 of 70;35;5.08;24 of 70;34;5.29;27 of 70;38;5.67;26 of 70;37;3.85;26 of 70;37;5.23
