Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average
BDMD;Academic Work and Communication;53 of 81;65;4.38;53 of 81;65;5.53;53 of 81;65;5.36;53 of 81;65;4.38;51 of 81;62;3.84;51 of 81;62;4.59
BDMD;Co-design and Qualitative Methods;21 of 48;43;4.10;18 of 48;37;4.89;18 of 48;37;4.89;21 of 48;43;4.14;20 of 48;41;3.40;20 of 48;41;5.15
BDMD;Designing Digital Play;13 of 34;38;5.54;12 of 34;35;5.42;12 of 34;35;5.58;13 of 34;38;5.46;12 of 34;35;2.75;13 of 34;38;4.92
BDMD;Digital Experience and Aesthetics;26 of 61;42;4.42;21 of 61;34;4.57;21 of 61;34;4.62;26 of 61;42;3.50;26 of 61;42;3.81;26 of 61;42;4.50
BDMD;Interaction Design: Genres and Contexts;54 of 81;66;5.20;53 of 81;65;5.25;51 of 81;62;5.39;53 of 81;65;4.70;52 of 81;64;3.79;52 of 81;64;5.10
BDMD;Media and Communication Theory;53 of 80;66;5.38;53 of 80;66;5.28;52 of 80;65;5.35;52 of 80;65;4.96;51 of 80;63;3.43;51 of 80;63;4.84
BDMD;Network Society;11 of 27;40;5.45;11 of 27;40;4.82;11 of 27;40;4.91;10 of 27;37;5.00;11 of 27;40;3.18;11 of 27;40;5.09
BDMD;Research Project and Academic Writing;24 of 57;42;4.62;22 of 57;38;5.05;22 of 57;38;5.05;22 of 57;38;3.55;24 of 57;42;3.79;24 of 57;42;4.96
BDMD;Webdesign and Portfolio;53 of 83;63;4.68;52 of 83;62;4.77;51 of 83;61;4.84;53 of 83;63;5.15;52 of 83;62;3.58;51 of 83;61;4.35
BGBI;Business Foundations;10 of 60;16;5.30;10 of 60;16;5.40;9 of 60;15;5.44;10 of 60;16;5.20;10 of 60;16;3.50;10 of 60;16;4.70
BGBI;Enterprise Systems & Information Management;14 of 59;23;3.86;14 of 59;23;3.93;14 of 59;23;4.07;14 of 59;23;4.57;14 of 59;23;4.50;14 of 59;23;4.93
BGBI;IT Foundations;34 of 67;50;4.26;34 of 67;50;4.44;34 of 67;50;4.62;34 of 67;50;4.79;34 of 67;50;3.79;34 of 67;50;4.29
BGBI;IT, Globalisation and Culture;16 of 50;32;3.81;15 of 50;30;4.27;15 of 50;30;4.33;16 of 50;32;3.38;15 of 50;30;2.67;16 of 50;32;4.06
BGBI;IT-enabled Supply Chain Management;15 of 59;25;5.40;15 of 59;25;5.47;15 of 59;25;5.27;15 of 59;25;4.53;15 of 59;25;3.00;15 of 59;25;4.13
BGBI;New Media and Communication;37 of 72;51;5.08;36 of 72;50;5.00;36 of 72;50;4.89;37 of 72;51;4.62;36 of 72;50;3.58;36 of 72;50;4.42
BGBI;Organisation & Process Theory;11 of 57;19;4.64;11 of 57;19;5.09;10 of 57;17;5.20;11 of 57;19;4.64;11 of 57;19;3.00;10 of 57;17;4.30
